account_cycle_unit_field~|~Account Cycle Unit~|~ఖాతా చక్రం యూనిట్
account_holder_note~|~Account Holder: {name}~|~ఖాతాదారు: {name}
account_periods~|~Account Periods~|~ఖాతా వ్యవధులు
account_review~|~Account Review~|~ఖాతా సమీక్ష
account_summary~|~Account Summary~|~ఖాతా సారాంశం
accounts_handed_to_you~|~Accounts Handed To You~|~మీకు అప్పగించిన ఖాతాలు
accrued~|~Accrued~|~సమకూరినది
accrued_note~|~Accrued: {amount} · Total earned: {total}~|~పోగుపడింది: {amount} · మొత్తం సంపాదించింది: {total}
accrued_this_year~|~Accrued This Year~|~ఈ సంవత్సరం సమకూరినది
accrued_this_year_note~|~Accrued this year: {amount} · Total earned: {total}~|~ఈ సంవత్సరం పోగుపడింది: {amount} · మొత్తం సంపాదించింది: {total}
active~|~Active~|~యాక్టివ్
active_investments~|~Active Investments~|~యాక్టివ్ పెట్టుబడులు
active_loans~|~Active Loans~|~యాక్టివ్ రుణాలు
active_members~|~Active Members~|~యాక్టివ్ సభ్యులు
add~|~Add~|~జోడించండి
add a customer~|~Add a Customer~|~కస్టమర్‌ను జోడించండి
add_a_customer~|~Add a Customer~|~కస్టమర్‌ను జోడించండి
add_a_member~|~Add a Member~|~సభ్యుడిని జోడించండి
add_a_remark_hint~|~Add a remark (append-only)~|~వ్యాఖ్య జోడించండి (జోడించడం మాత్రమే)
add_a_user~|~Add a User~|~వినియోగదారుని జోడించండి
add_agent~|~Add Agent~|~ఏజెంట్ జోడించండి
add_agent_to_business~|~Add Agent to Business~|~వ్యాపారానికి ఏజెంట్‌ను జోడించండి
add_an_agent~|~Add an Agent~|~ఒక ఏజెంట్‌ను జోడించండి
add_and_issue_loan~|~Add & Issue Loan~|~జోడించి రుణం ఇవ్వండి
add_area~|~Add Area~|~ప్రాంతం జోడించండి
add_bf~|~Add BF~|~BF జోడించండి
add_business_photo~|~Add Business Photo~|~వ్యాపార ఫోటో జోడించండి
add_cheti~|~Add Cheeti~|~చీటీ జోడించండి
add_customer~|~Add Customer~|~కస్టమర్ జోడించండి
add_customer_to_business~|~Add Customer to Business~|~వ్యాపారానికి కస్టమర్‌ను జోడించండి
add_existing_agent~|~Add Existing Agent~|~ఇప్పటికే ఉన్న ఏజెంట్‌ను జోడించండి
add_existing_agent_note~|~For an agent who already has a MANA LINE ID (MLID/MLPI/MLTI).~|~ఇప్పటికే మానా లైన్ ఐడి (MLID/MLPI/MLTI) ఉన్న ఏజెంట్ కోసం.
add_existing_customer~|~Add Existing Customer~|~ఇప్పటికే ఉన్న కస్టమర్‌ను జోడించండి
add_existing_investor~|~Add Existing Investor~|~ఇప్పటికే ఉన్న పెట్టుబడిదారుని జోడించండి
add_existing_loan~|~Add Existing Loan~|~ఇప్పటికే ఉన్న రుణం జోడించండి
add_existing_loan_note~|~Enter the loan as it stands today. The repayment schedule is created from today forward for whatever is still owed — past instalments are not recreated, so the customer's Line Score starts from here.~|~రుణాన్ని ఈ రోజు ఉన్నట్లుగా నమోదు చేయండి. ఇంకా బాకీ ఉన్నదానికి ఈ రోజు నుండి తిరిగి చెల్లింపు షెడ్యూల్ సృష్టించబడుతుంది — గత వాయిదాలు తిరిగి సృష్టించబడవు, కాబట్టి కస్టమర్ లైన్ స్కోర్ ఇక్కడి నుండి మొదలవుతుంది.
add_existing_member~|~Add Existing Member~|~ఇప్పటికే ఉన్న సభ్యుడిని జోడించండి
add_expense~|~Add Expense~|~ఖర్చు జోడించండి
add_investor~|~Add Investor~|~పెట్టుబడిదారుని జోడించండి
add_loan~|~Add Loan~|~రుణం జోడించండి
add_new_village~|~Add New Village~|~కొత్త గ్రామం జోడించండి
add_only~|~Add Only~|~జోడించండి మాత్రమే
add_payment~|~Add Payment~|~చెల్లింపు జోడించండి
add_profile_photo~|~Add Profile Photo~|~ప్రొఫైల్ ఫోటో జోడించండి
add_remark~|~Add Remark~|~వ్యాఖ్య జోడించండి
add_remark_append_only_field~|~Add a remark (append-only)~|~వ్యాఖ్య జోడించండి (జోడించడం మాత్రమే)
add_remarks~|~Add Remarks~|~వ్యాఖ్యలు జోడించండి
add_this_persons_entry~|~Add This Person's Entry~|~ఈ వ్యక్తి నమోదును జోడించండి
add_this_village~|~Add This Village~|~ఈ గ్రామాన్ని జోడించండి
add_to_this_business~|~Add To This Business~|~ఈ వ్యాపారానికి జోడించండి
add_village~|~Add Village~|~గ్రామం జోడించండి
add_village_for_pin_note~|~The directory has no match at PIN {pin}. Add it, and mandal and district will come from the PIN.~|~పిన్ {pin} వద్ద డైరెక్టరీలో సరిపోలిక లేదు. దాన్ని జోడించండి, మండలం మరియు జిల్లా పిన్ నుండి వస్తాయి.
add_village_for_place_note~|~Add a village in {district}, {state}.~|~{state}లోని {district}లో ఒక గ్రామాన్ని జోడించండి.
add_village_named_note~|~Add "{name}" as a new village~|~"{name}"ని కొత్త గ్రామంగా జోడించండి
add_village_to_note~|~Add a village to {area}~|~{area}కి గ్రామం జోడించండి
added_as_roles_note~|~Added as {roles}.~|~{roles}గా జోడించబడింది.
added_to_business_note~|~Added to this business.~|~ఈ వ్యాపారానికి జోడించబడింది.
added_to_principal~|~Added to Principal~|~అసలుకు జోడించబడింది
added_to_this_business~|~Added to this business.~|~ఈ వ్యాపారానికి జోడించబడింది.
added_up_from_modes_note~|~Added up from the payment modes below.~|~కింది చెల్లింపు విధానాల నుండి కూడబెట్టబడింది.
adding_area_note~|~Adding an area starts working it immediately; removing one stops new collections there for today (its Account Period keeps running to its own end date).~|~ప్రాంతాన్ని జోడించడం వెంటనే దానిలో పని ప్రారంభిస్తుంది; తీసివేయడం నేటికి అక్కడ కొత్త వసూళ్లను ఆపుతుంది (దాని ఖాతా వ్యవధి దాని ముగింపు తేదీ వరకు కొనసాగుతుంది).
address~|~Address~|~చిరునామా
address_field~|~Address~|~చిరునామా
address_pin_village~|~Address · PIN Code · Village~|~చిరునామా · పిన్ కోడ్ · గ్రామం
address_updated_note~|~Address updated. Previous value kept in history; Owner(s) notified.~|~చిరునామా నవీకరించబడింది. మునుపటి విలువ చరిత్రలో ఉంచబడింది; యజమానులకు తెలియజేయబడింది.
adjustments~|~Adjustments~|~సర్దుబాట్లు
adjustments_recorded_session~|~Adjustments Recorded This Session~|~ఈ సెషన్‌లో నమోదు చేసిన సర్దుబాట్లు
admin_forgot_password_note~|~Enter the admin username. If it exists, an OTP will be sent to its linked recovery number.~|~అడ్మిన్ యూజర్‌నేమ్ నమోదు చేయండి. అది ఉంటే, దాని లింక్ చేసిన రికవరీ నంబర్‌కు OTP పంపబడుతుంది.
admin_login~|~Admin Login~|~అడ్మిన్ లాగిన్
admin_panel~|~Admin Panel~|~అడ్మిన్ ప్యానెల్
advance~|~Advance~|~అడ్వాన్స్
advances_deducted~|~Advances Deducted~|~తీసివేసిన అడ్వాన్సులు
agent~|~Agent~|~ఏజెంట్
agent_asked_you_to_check_bf~|~An Agent Says Their Opening BF Is Wrong~|~ఏజెంట్ తన ఓపెనింగ్ BF తప్పు అంటున్నారు
agent_colon_note~|~Agent: {names}~|~ఏజెంట్: {names}
agent_dashboard~|~Agent Dashboard~|~ఏజెంట్ డాష్‌బోర్డ్
agent_note~|~Agent: {name}~|~ఏజెంట్: {name}
agent_opening_short~|~Short Carried In~|~తీసుకువచ్చిన లోటు
agent_opening_short_note~|~If this agent still owes money from before the book came across, enter it here. Salary and sadar already settled are not asked for.~|~పుస్తకం రాకముందు నుండి ఈ ఏజెంట్ ఇంకా డబ్బు బాకీ ఉంటే, దాన్ని ఇక్కడ నమోదు చేయండి. అప్పటికే సెటిల్ అయిన జీతం మరియు సదర్ అడగబడవు.
agent_registered_note~|~Agent registered — invitation sent, status Pending Invitation.~|~ఏజెంట్ నమోదు చేయబడింది — ఆహ్వానం పంపబడింది, స్థితి పెండింగ్ ఆహ్వానం.
agent_remarks~|~Agent Remarks~|~ఏజెంట్ వ్యాఖ్యలు
agent_salary_deduction~|~Agent Salary Deduction~|~ఏజెంట్ జీతం మినహాయింపు
agent_summary~|~Agent Summary~|~ఏజెంట్ సారాంశం
agent_transferred_note~|~Agent transferred — new agent notified.~|~ఏజెంట్ బదిలీ చేయబడింది — కొత్త ఏజెంట్‌కు తెలియజేయబడింది.
agents~|~Agents~|~ఏజెంట్లు
agents_colon_note~|~Agents: {names}~|~ఏజెంట్లు: {names}
agents_count_note~|~{count} Agents~|~{count} ఏజెంట్లు
agents_label_note~|~Agents: {names}~|~ఏజెంట్లు: {names}
agreement_snapshot~|~Agreement Snapshot~|~ఒప్పంద స్నాప్‌షాట్
agreement_text_field~|~Agreement Text~|~ఒప్పంద వచనం
agreement_type_field~|~Agreement Type~|~ఒప్పంద రకం
agreements~|~Agreements~|~ఒప్పందాలు
all~|~All~|~అన్నీ
all_dates~|~All Dates~|~అన్ని తేదీలు
all_villages~|~All Villages~|~అన్ని గ్రామాలు
allow~|~Allow~|~అనుమతించండి
allowance_note~|~Allowance: {amount}~|~భత్యం: {amount}
already_availed_lumpsum~|~Already availed the lumpsum~|~ఇప్పటికే లంప్‌సమ్ పొందారు
already_collected~|~Already collected~|~ఇప్పటికే వసూలు చేసినది
already_collected_note~|~This loan already has a payment recorded today by {by} ({amount}). Record this payment anyway?~|~ఈ రుణానికి ఈరోజు ఇప్పటికే {by} ద్వారా ఒక చెల్లింపు నమోదైంది ({amount}). అయినప్పటికీ ఈ చెల్లింపును నమోదు చేయాలా?
already_collected_this_cycle~|~Already Collected This Account Cycle~|~ఈ ఖాతా వ్యవధిలో ఇప్పటికే వసూలు చేయబడింది
already_collected_today~|~Already Collected Today~|~ఈరోజు ఇప్పటికే వసూలైంది
already_paid~|~Already Paid~|~ఇప్పటికే చెల్లించినది
already_paid_hint~|~total issued - remaining balance~|~మొత్తం జారీ చేసినది - మిగిలిన నిల్వ
already_registered_q~|~Already registered?~|~ఇప్పటికే నమోదు అయ్యారా?
amount~|~Amount~|~మొత్తం
amount_availed_field~|~Amount Availed *~|~పొందిన మొత్తం *
amount_cannot_exceed_balance~|~Amount * (cannot exceed available balance)~|~మొత్తం * (అందుబాటులో ఉన్న నిల్వను మించకూడదు)
amount_given~|~Amount Given~|~ఇచ్చిన మొత్తం
amount_given_cash_field~|~Amount Given * — cash you handed over~|~ఇచ్చిన మొత్తం * — మీరు అప్పగించిన నగదు
amount_given_derived_label~|~Amount Given (System-Derived, Read-Only)~|~ఇచ్చిన మొత్తం (సిస్టమ్-నిర్ధారితం, చదవడానికి మాత్రమే)
amount_given_locked~|~Amount Given (locked)~|~ఇచ్చిన మొత్తం (లాక్ చేయబడింది)
amount_given_readonly_note~|~Amount Given (System-Derived, Read-Only)~|~ఇచ్చిన మొత్తం (సిస్టమ్-నిర్ధారితం, చదవడానికి మాత్రమే)
amount_owed~|~Amount Owed~|~బాకీ ఉన్న మొత్తం
amount_required_field~|~Amount *~|~మొత్తం *
amount_submitted_note~|~{amount} submitted {date}~|~{amount} {date}న సమర్పించారు
an_earlier_date~|~an earlier date~|~ఒక ముందు తేదీ
app_name~|~MANA LINE~|~మన లైన్
appearance~|~Appearance~|~రూపం
append_only~|~Append-only~|~జోడించడం మాత్రమే
applied_to~|~Applied To~|~వర్తించినది
applied_to_note~|~Applied to: {target}~|~వర్తించినది: {target}
apply~|~Apply~|~వర్తింపజేయండి
apply_penalty~|~Apply Penalty~|~జరిమానా వేయండి
approve~|~Approve~|~ఆమోదించండి
approve_account_period_note~|~{area} · {agent}\nApproving locks this Account Period. Locked accounts cannot be modified.~|~{area} · {agent}\nఆమోదించడం ఈ ఖాతా వ్యవధిని లాక్ చేస్తుంది. లాక్ చేసిన ఖాతాలను మార్చలేరు.
approve_account_period_question~|~Approve Account Period?~|~ఖాతా వ్యవధిని ఆమోదించాలా?
approved_by_note~|~{date} · Approved by {by}~|~{date} · {by} ఆమోదించారు
april~|~April~|~ఏప్రిల్
archive~|~Archive~|~ఆర్కైవ్
archive_customer~|~Archive Customer~|~కస్టమర్‌ను ఆర్కైవ్ చేయండి
are you sure you want to close mana line?~|~Are You Sure You Want to Close MANA LINE?~|~మీరు ఖచ్చితంగా మన లైన్‌ను మూసివేయాలనుకుంటున్నారా?
are_you_absolutely_sure~|~Are You Absolutely Sure?~|~మీరు ఖచ్చితంగా నిర్ధారించారా?
area_kept_for_history_note~|~{area} is no longer worked. It is kept because past account periods refer to it.~|~{area} ఇకపై పని చేయబడదు. గత ఖాతా వ్యవధులు దీన్ని సూచిస్తున్నందున ఇది ఉంచబడింది.
area_locality_optional_field~|~Area / Locality (optional)~|~ప్రాంతం / స్థానికత (ఐచ్ఛికం)
area_name_field~|~Area Name~|~ప్రాంతం పేరు
area_name_helper~|~Leave blank to name it after the first village~|~ఖాళీగా వదిలితే మొదటి గ్రామం పేరుతో పేరు పెట్టబడుతుంది
area_options~|~Area Options~|~ప్రాంతం ఎంపికలు
area_removed_note~|~{area} was removed.~|~{area} తీసివేయబడింది.
area_still_has_loans_note~|~{count} live loans sit in {area}. Removing it now leaves them with no round to be collected on.~|~{area}లో {count} సజీవ రుణాలు ఉన్నాయి. ఇప్పుడు తీసివేస్తే వాటిని వసూలు చేయడానికి రౌండ్ ఉండదు.
area_still_has_loans_question~|~Loans Are Still Being Collected Here~|~ఇక్కడ ఇంకా వసూళ్లు జరుగుతున్నాయి
area_type_field~|~Area Type *~|~ప్రాంత రకం *
area_work_session~|~Area Work Session~|~ప్రాంత పని సెషన్
areas~|~Areas~|~ప్రాంతాలు
areas_count_note~|~{count} Areas~|~{count} ప్రాంతాలు
areas_note~|~Agent cannot choose areas outside those assigned here — Agent-side area selection (e.g. Collection Mode) is restricted to this set.~|~ఏజెంట్ ఇక్కడ కేటాయించిన ప్రాంతాలకు వెలుపల ఎంచుకోలేరు — ఏజెంట్-సైడ్ ప్రాంత ఎంపిక (ఉదా. వసూలు మోడ్) ఈ సెట్‌కు పరిమితం.
assign_agent~|~Assign Agent~|~ఏజెంట్ కేటాయించండి
assign_to_this_round~|~Assign to This Round~|~ఈ రౌండ్‌కు కేటాయించండి
assigned~|~Assigned~|~కేటాయించబడింది
assigned_agent~|~Assigned Agent~|~కేటాయించిన ఏజెంట్
assigned_out_this_session~|~Assigned Out This Session~|~ఈ సెషన్‌లో కేటాయించినది
assigned_route~|~Assigned Route~|~కేటాయించిన మార్గం
at_confirm~|~At Confirm~|~నిర్ధారణ వద్ద
attention_required~|~Attention Required~|~శ్రద్ధ అవసరం
audit~|~Audit~|~ఆడిట్
audit_note~|~Membership/permission/compensation changes are logged here per BR-158 — no entries yet.~|~సభ్యత్వం/అనుమతి/వేతన మార్పులు ఇక్కడ నమోదు చేయబడతాయి — ఇంకా ఎంట్రీలు లేవు.
august~|~August~|~ఆగస్టు
available_actions~|~Available Actions~|~అందుబాటులో ఉన్న చర్యలు
available_balance~|~Available Balance~|~అందుబాటులో ఉన్న నిల్వ
availed~|~Availed~|~పొందినది
availed_on~|~Availed On~|~పొందిన తేదీ
availed_on_note~|~Availed {date}~|~{date}న పొందారు
availing_adds_to_bf_note~|~This adds to BF. You keep paying the remaining {count} instalments — availing does not close the cheeti.~|~ఇది BFకు జోడిస్తుంది. మిగిలిన {count} వాయిదాలు మీరు చెల్లిస్తూనే ఉంటారు — పొందడం చీటీని మూసివేయదు.
awaiting_owner_agent_confirmation~|~Awaiting Owner/Agent confirmation.~|~యజమాని/ఏజెంట్ నిర్ధారణ కోసం వేచి ఉంది.
back~|~Back~|~వెనుకకు
back_to_dashboard~|~Back to Dashboard~|~డాష్‌బోర్డ్‌కు తిరిగి
back_to_loan_detail~|~Back to Loan Detail~|~రుణ వివరాలకు తిరిగి వెళ్లండి
back_to_my_loans~|~Back to My Loans~|~నా రుణాలకు తిరిగి వెళ్లండి
back_to_template_selection~|~Back to Template Selection~|~టెంప్లేట్ ఎంపికకు తిరిగి
backup~|~Backup~|~బ్యాకప్
balance~|~Balance~|~బ్యాలెన్స్
balance_before_today~|~Balance Before Today~|~నేటికి ముందు నిల్వ
balance_below_one_rupee_note~|~Available Balance is below ₹1.00 — withdrawal requests are disabled.~|~అందుబాటులో ఉన్న నిల్వ ₹1.00 కంటే తక్కువ — ఉపసంహరణ అభ్యర్థనలు నిలిపివేయబడ్డాయి.
balance_emi_note~|~Balance {balance} · EMI {emi}~|~నిల్వ {balance} · EMI {emi}
balance_only_note~|~Enter the balance as it stands today. Instalment history is not asked for here.~|~నేటి నాటికి ఉన్న బ్యాలెన్స్‌ను నమోదు చేయండి. ఇక్కడ వాయిదాల చరిత్ర అడగబడదు.
balance_status_note~|~Balance {balance} · {status}~|~నిల్వ {balance} · {status}
balanced~|~Balanced~|~సరిపోయింది
bank~|~Bank~|~బ్యాంక్
bank_balance~|~Bank Balance~|~బ్యాంక్ నిల్వ
bank_collection~|~Bank Collection~|~బ్యాంక్ వసూలు
bank_transfer~|~Bank Transfer~|~బ్యాంక్ బదిలీ
before_migration_suffix~|~ (before migration)~|~ (మైగ్రేషన్‌కు ముందు)
bf_added_note~|~₹{granted} added. {name} now holds ₹{newFloat}.~|~₹{granted} జోడించబడింది. ఇప్పుడు {name} వద్ద ₹{newFloat} ఉంది.
bf_cash_in_hand~|~BF — Cash in Hand~|~BF — చేతిలో నగదు
bf_cash_panel~|~BF Cash Panel~|~BF నగదు ప్యానెల్
bf_cash_transfer~|~BF Cash Transfer~|~BF నగదు బదిలీ
bf_cash_transfer_note~|~Send or receive BF Cash with another Agent. A transfer only moves the balance once BOTH agents confirm (BR-173) — no Owner approval gate applies.~|~మరో ఏజెంట్‌తో BF నగదు పంపండి లేదా స్వీకరించండి. ఇద్దరు ఏజెంట్లు నిర్ధారించిన తర్వాతే బదిలీ నిల్వను కదిలిస్తుంది — యజమాని ఆమోదం అవసరం లేదు.
bf_cash_validation_note~|~BF Cash Validation (BR-165): the collecting Agent's (or Owner's) available BF Cash must cover the loan amount — hard block, not a warning. Verified at confirm time inside the create call.~|~BF నగదు ధృవీకరణ: వసూలు చేసే ఏజెంట్ (లేదా యజమాని) వద్ద అందుబాటులో ఉన్న BF నగదు రుణ మొత్తాన్ని కవర్ చేయాలి — ఇది హెచ్చరిక కాదు, హార్డ్ బ్లాక్. నిర్ధారణ సమయంలో సృష్టి కాల్‌లో ధృవీకరించబడుతుంది.
bf_declared_on_note~|~Declared on {date}~|~{date}న ప్రకటించబడింది
bf_dispute_sent~|~Your Opening BF dispute has been sent to the Owner. You will be re-prompted with the corrected figure once they resolve it.~|~మీ ప్రారంభ BF వివాదం యజమానికి పంపబడింది. వారు పరిష్కరించిన తర్వాత సరిదిద్దిన మొత్తంతో మీకు మళ్లీ అడుగుతారు.
bf_given~|~BF Given~|~బీఎఫ్ ఇచ్చారు
bf_given_to~|~BF Given To~|~బీఎఫ్ ఇచ్చినది
bf_locked_suffix~|~ — locked~|~ — లాక్ చేయబడింది
bf_not_declared_note~|~Not declared yet. Count the cash box and enter it below.~|~ఇంకా ప్రకటించలేదు. నగదు పెట్టెను లెక్కించి క్రింద నమోదు చేయండి.
bf_received~|~BF Received~|~BF అందింది
bf_semantic_label~|~Brought forward, cash in hand~|~ముందుకు తీసుకువచ్చినది, చేతిలో నగదు
bf_transfer_confirmed_note~|~BF Cash Transfer confirmed — balance updated.~|~BF నగదు బదిలీ నిర్ధారించబడింది — నిల్వ నవీకరించబడింది.
bf_transfer_sent_note~|~BF Cash Transfer sent — pending the other Agent's confirmation.~|~BF నగదు బదిలీ పంపబడింది — మరో ఏజెంట్ నిర్ధారణ కోసం పెండింగ్‌లో ఉంది.
blank_fields_unchanged_note~|~Blank fields are left unchanged.~|~ఖాళీ ఫీల్డ్‌లు మార్చబడవు.
brought_forward~|~Brought Forward (BF)~|~నిల్వ (BF)
bulk_details_note~|~One file, three tabs — Agent, Investor, Customer — prefilled with the people just created.~|~ఒక ఫైల్, మూడు ట్యాబ్‌లు — ఏజెంట్, పెట్టుబడిదారు, కస్టమర్ — ఇప్పుడే సృష్టించిన వ్యక్తులతో ముందుగా నింపబడింది.
bulk_done_note~|~Anything not shown above yet can still be added — every step in this wizard stays available from the migration screen.~|~పైన ఇంకా చూపని ఏదైనా జోడించవచ్చు — ఈ విజార్డ్‌లోని ప్రతి దశ మైగ్రేషన్ స్క్రీన్ నుండి అందుబాటులో ఉంటుంది.
bulk_emi_note~|~Optional. Up to 100 past instalments per customer, each its own row.~|~ఐచ్ఛికం. ప్రతి కస్టమర్‌కు 100 వరకు గత వాయిదాలు, ప్రతి ఒక్కటి దాని స్వంత వరుస.
bulk_identities_note~|~One file, every new person — Agent, Customer and Investor together. Nothing is created until every row is valid.~|~ఒక ఫైల్, ప్రతి కొత్త వ్యక్తి — ఏజెంట్, కస్టమర్ మరియు పెట్టుబడిదారు కలిసి. ప్రతి వరుస సరైనది అయ్యే వరకు ఏదీ సృష్టించబడదు.
bulk_onboarding~|~Bulk Onboarding~|~బల్క్ ఆన్‌బోర్డింగ్
bulk_onboarding_wizard~|~Bulk Onboarding Wizard~|~బల్క్ ఆన్‌బోర్డింగ్ విజార్డ్
business_access~|~Business Access~|~వ్యాపార యాక్సెస్
business_address_field~|~Business Address~|~వ్యాపార చిరునామా
business_agreements_note~|~Business Agreements are business-specific — a multi-business Owner sets these independently per MLBI; they do not carry over.~|~వ్యాపార ఒప్పందాలు వ్యాపారానికే ప్రత్యేకం — బహుళ వ్యాపారాలున్న యజమాని వీటిని ప్రతి MLBIకి విడిగా సెట్ చేస్తారు; ఇవి బదిలీ కావు.
business_cash~|~Business Cash~|~వ్యాపార నగదు
business_cash_total~|~Business Cash Total~|~మొత్తం వ్యాపార నగదు
business_date~|~Business Date~|~వ్యాపార తేదీ
business_day_accounts~|~Business-Day-Accounts~|~వ్యాపార-దిన-ఖాతాలు
business_day_closed~|~Business Day Closed~|~వ్యాపార దినం మూసివేయబడింది
business_detail~|~Business Detail~|~వ్యాపార వివరాలు
business_email_field~|~Business Email~|~వ్యాపార ఇమెయిల్
business_linked~|~Business Linked~|~వ్యాపారానికి లింక్ చేయబడింది
business_management~|~Business Management~|~వ్యాపార నిర్వహణ
business_memberships~|~Business Memberships~|~వ్యాపార సభ్యత్వాలు
business_name~|~Business Name~|~వ్యాపార పేరు
business_name_field~|~Business Name *~|~వ్యాపార పేరు *
business_name_or_mlbi_field~|~Business name or MLBI~|~వ్యాపార పేరు లేదా MLBI
business_phone_field~|~Business Phone~|~వ్యాపార ఫోన్
business_profit~|~Business profit~|~వ్యాపార లాభం
business_status~|~Business Status~|~వ్యాపార స్థితి
business_transfer~|~Business Transfer~|~వ్యాపార బదిలీ
business_type_field~|~Business Type~|~వ్యాపార రకం
businesses_owned~|~Businesses Owned~|~స్వంత వ్యాపారాలు
cancel~|~Cancel~|~రద్దు చేయండి
cancelled~|~Cancelled~|~రద్దు చేయబడింది
capture_live_photo~|~Capture Live Photo *~|~ప్రత్యక్ష ఫోటో తీయండి *
capture_live_photo_field~|~Capture Live Photo *~|~లైవ్ ఫోటో తీయండి *
captured_tap_retake~|~Captured — tap to retake~|~తీసుకోబడింది — మళ్లీ తీయడానికి నొక్కండి
carried_forward~|~Carried Forward~|~తదుపరికి నిల్వ
case_resolved_slot_freed~|~Case Resolved — Slot Freed~|~కేసు పరిష్కరించబడింది — స్లాట్ ఖాళీ అయింది
cash~|~Cash~|~నగదు
cash_collected~|~Cash Collected~|~వసూలు చేసిన నగదు
cash_in_hand_bf~|~Cash in Hand (BF)~|~చేతిలో నగదు (BF)
cash_in_hand_field~|~Cash in hand *~|~చేతిలో నగదు *
cash_out_of_bf~|~Cash out of BF~|~BF నుండి నగదు
cash_verification~|~Cash Verification~|~నగదు ధృవీకరణ
categories~|~Categories~|~వర్గాలు
change_area~|~Change Area~|~ప్రాంతం మార్చండి
change_opening_bf~|~Change Opening BF~|~ప్రారంభ BF మార్చండి
change_photo~|~Change Photo~|~ఫోటో మార్చండి
change_profile_photo~|~Change Profile Photo~|~ప్రొఫైల్ ఫోటో మార్చండి
change_status_note~|~Change {name}'s membership status to "{status}"?~|~{name} యొక్క సభ్యత్వ స్థితిని "{status}"కి మార్చాలా?
change_user~|~Change User~|~వినియోగదారుని మార్చండి
check_again~|~Check Again~|~మళ్లీ చూడండి
check_business_linked~|~Business Linked~|~వ్యాపారం లింక్ చేయబడింది
check_customer_active~|~Customer Active~|~కస్టమర్ యాక్టివ్
check_customer_exists~|~Customer Exists~|~కస్టమర్ ఉన్నారు
check_no_duplicate_loan~|~No Duplicate Loan~|~నకిలీ రుణం లేదు
check_no_owner_restrictions~|~No Owner Restrictions~|~యజమాని పరిమితులు లేవు
check_no_pending_approval~|~No Pending Approval~|~పెండింగ్ ఆమోదం లేదు
check_not_blocked~|~Not Blocked~|~నిరోధించబడలేదు
check_outstanding_rules~|~Outstanding Rules~|~బాకీ నిబంధనలు
check_status~|~Check Status~|~స్థితి తనిఖీ చేయండి
check_this_loan~|~Check This Loan~|~ఈ రుణాన్ని సరిచూడండి
cheque~|~Cheque~|~చెక్కు
cheque_balance~|~Cheque Balance~|~చెక్ నిల్వ
cheque_collection~|~Cheque Collection~|~చెక్ వసూలు
cheque_count_field~|~Cheque Count (tally, not persisted)~|~చెక్ లెక్క (సరిపోల్చడానికి, నిల్వ చేయబడదు)
cheque_count_helper~|~Sits alongside Cheque Collection {amount} for your own reconciliation.~|~మీ స్వంత సరిపోల్చడం కోసం చెక్ వసూలు {amount} పక్కన ఉంటుంది.
cheti~|~Cheeti~|~చీటీ
