S.No,In-use English,Changes in English,In-use Telugu,Changes in Telugu,Section,Times used,Translation keys
159,Can Delete Records,,రికార్డులు తొలగించగలరు,,A,1,perm_can_delete_records
160,Can Export Reports,,నివేదికలు ఎగుమతి చేయగలరు,,A,1,perm_can_export_reports
161,Can Issue Loans,,రుణాలు జారీ చేయగలరు,,A,1,perm_can_issue_loans
162,Can Record Expenses,,ఖర్చులు నమోదు చేయగలరు,,A,1,perm_can_record_expenses
163,Can Register Customers,,కస్టమర్లను నమోదు చేయగలరు,,A,1,perm_can_create_customer
164,Can Submit Settlement,,సెటిల్‌మెంట్ సమర్పించగలరు,,A,1,perm_can_perform_day_settlement
165,Can Upload Documents,,పత్రాలు అప్‌లోడ్ చేయగలరు,,A,1,perm_can_upload_documents
166,Can View Customers,,కస్టమర్లను చూడగలరు,,A,1,perm_can_view_customers
167,Can View Reports,,నివేదికలు చూడగలరు,,A,1,perm_can_view_reports
168,Cancel,,రద్దు చేయండి,,A,1,cancel
169,Cancelled,,రద్దు చేయబడింది,,A,1,cancelled
170,Carried Forward,,తదుపరికి నిల్వ,,A,1,carried_forward
171,Cash,,నగదు,,A,1,cash
172,Cash Collected,,వసూలు చేసిన నగదు,,A,1,cash_collected
173,Cash Verification,,నగదు ధృవీకరణ,,A,1,cash_verification
174,Categories,,వర్గాలు,,A,1,categories
175,Change Area,,ప్రాంతం మార్చండి,,A,1,change_area
176,Change Opening BF,,ప్రారంభ BF మార్చండి,,A,1,change_opening_bf
177,Change Photo,,ఫోటో మార్చండి,,A,1,change_photo
178,Change Profile Photo,,ప్రొఫైల్ ఫోటో మార్చండి,,A,1,change_profile_photo
179,Change User,,వినియోగదారుని మార్చండి,,A,1,change_user
180,Check Again,,మళ్లీ చూడండి,,A,1,check_again
181,Check Status,,స్థితి తనిఖీ చేయండి,,A,1,check_status
182,Check This Loan,,ఈ రుణాన్ని సరిచూడండి,,A,1,check_this_loan
183,Cheeti,,చీటీ,,A,1,cheti
184,Cheeti Amount Availed,,చీటీ మొత్తం పొందారు,,A,1,cheti_amount_availed
185,Cheeti Instalment Paid,,చీటీ వాయిదా చెల్లింపు,,A,1,cheti_instalment_paid
186,Cheeti Name *,,చీటీ పేరు *,,A,1,cheti_name_field
187,Cheeti Paid,,"1) చీటీ చెల్లించినది
2) చీటీ చెల్లింపు",,A,2,cheti_paid cheti_paid_label
188,Cheeti Received,,"1) చీటీ అందుకున్నది
2) చీటీ అందినది",,A,2,cheti_received cheti_received_label
189,Cheque,,చెక్కు,,A,1,cheque
190,Cheque Balance,,చెక్ నిల్వ,,A,1,cheque_balance
191,Cheque Collection,,చెక్ వసూలు,,A,1,cheque_collection
192,Choose a date,,తేదీని ఎంచుకోండి,,A,1,choose_a_date
193,Choose File,,ఫైల్ ఎంచుకోండి,,A,1,choose_file
194,Choose Workspace,,వర్క్‌స్పేస్ ఎంచుకోండి,,A,1,choose_workspace
195,Clear,,క్లియర్ చేయండి,,A,1,clear_selection
196,Clear All,,అన్నీ తీసివేయండి,,A,1,clear_all
197,Clear All Notifications?,,అన్ని నోటిఫికేషన్‌లు క్లియర్ చేయాలా?,,A,1,clear_all_notifications_question
198,Close,,మూసివేయండి,,A,1,close
199,Close (Write-Off),,మూసివేయండి (రైట్-ఆఫ్),,A,1,close_write_off
200,Close Again,,మళ్లీ మూసివేయండి,,A,1,close_again
201,Close Business Day?,,వ్యాపార దినం మూసివేయాలా?,,A,1,close_business_day_question
202,Close Loan,,రుణం మూసివేయండి,,A,1,close_loan
203,Closed,,మూసివేయబడింది,,A,1,closed
204,Closing,,ముగింపు,,A,2,closing day_closing
205,Closing Balance,,ముగింపు నిల్వ,,A,1,closing_balance_label
206,Closing Cash,,ముగింపు నగదు,,A,1,closing_cash
207,Collect,,వసూలు,,A,1,collect
208,Collect Payment,,చెల్లింపు వసూలు చేయండి,,A,1,collect_payment
209,Collect {amount},,{amount} వసూలు చేయండి,,A,1,collect_amount
210,Collected,,వసూలైంది,,A,1,collected
211,Collected Amount *,,వసూలైన మొత్తం *,,A,1,collected_amount_field
212,Collection Agent,,వసూలు ఏజెంట్,,A,1,collection_agent
213,Collection From,,వసూలు నుండి,,A,1,collection_from
214,Collection History,,వసూలు చరిత్ర,,A,1,collection_history
215,Collection {percent}%,,వసూలు {percent}%,,A,1,collection_percent
216,Collections,,వసూళ్లు,,A,2,collection_mode collections
217,Coming Soon,,త్వరలో వస్తుంది,,A,1,coming_soon
218,Compensation,,వేతనం,,A,1,compensation
219,Compensation History,,వేతన చరిత్ర,,A,1,compensation_history
220,Compensation Structure,,వేతన నిర్మాణం,,A,1,compensation_structure
221,Complete Profile,,ప్రొఫైల్ పూర్తి చేయండి,,A,1,complete_profile
222,Completed,,పూర్తయింది,,A,1,completed
223,Completed Installments,,పూర్తయిన వాయిదాలు,,A,1,completed_installments
224,Configure Cycle,,చక్రం కాన్ఫిగర్ చేయండి,,A,1,configure_cycle
225,Confirm,,నిర్ధారించండి,,A,2,confirm confirm_label
226,Confirm Close,,మూసివేతను నిర్ధారించండి,,A,1,confirm_close
227,Confirm Close Loan,,రుణం మూసివేతను నిర్ధారించండి,,A,1,confirm_close_loan
228,Confirm Loan,,రుణాన్ని నిర్ధారించండి,,A,1,confirm_loan
229,Confirm Password,,పాస్‌వర్డ్ నిర్ధారించండి,,A,1,confirm_password
230,Confirm Request,,అభ్యర్థనను నిర్ధారించండి,,A,1,confirm_request
231,Confirm Suspension,,సస్పెన్షన్ నిర్ధారించండి,,A,1,confirm_suspension
232,Confirm Write-Off,,రైట్-ఆఫ్ నిర్ధారించండి,,A,1,confirm_write_off
233,Confirm: {action},,నిర్ధారించండి: {action},,A,1,confirm_action_title
234,Confirm: {status},,నిర్ధారించండి: {status},,A,1,confirm_status_change_title
235,Contact & Identity,,సంప్రదింపు & గుర్తింపు,,A,1,contact_and_identity
236,Contact Owner,,యజమానిని సంప్రదించండి,,A,1,contact_owner
237,Continue,,కొనసాగించండి,,A,2,continue_button continue_label
238,Continue Draft,,ముసాయిదా కొనసాగించండి,,A,1,continue_draft
239,Correct,,సరిచేయండి,,A,1,correct_entry
240,Correct and Resubmit,,సరిచేసి మళ్లీ సమర్పించండి,,A,1,correct_and_resubmit
241,Corrected Aadhaar Number,,సరిచేసిన ఆధార్ నంబర్,,A,1,corrected_aadhaar_number
242,Correction,,సరిదిద్దుబాటు,,A,1,correction
243,Corrections,,సరిదిద్దుబాట్లు,,A,1,corrections
244,Could Not Read,,చదవలేకపోయింది,,A,1,could_not_read
245,Create Agreement,,ఒప్పందం సృష్టించండి,,A,1,create_agreement
246,Create Business,,వ్యాపారం సృష్టించండి,,A,1,create_business
247,Create Business Agreement,,వ్యాపార ఒప్పందం సృష్టించండి,,A,1,create_business_agreement
248,Create Customer,,కస్టమర్ సృష్టించండి,,A,1,create_customer
249,Create Group,,గ్రూప్ సృష్టించండి,,A,1,create_group
250,Create Inside App,,యాప్ లోపల సృష్టించండి,,A,1,create_inside_app
251,Create Loan,,రుణం సృష్టించండి,,A,1,create_loan
252,Create New Business,,కొత్త వ్యాపారాన్ని సృష్టించండి,,A,1,create_new_business
253,Create PIN,,పిన్ సృష్టించండి,,A,1,create_pin
254,Create Your Account,,మీ ఖాతాను సృష్టించండి,,A,1,create_your_account
255,Created {when},,{when}న సృష్టించబడింది,,A,1,created_note
256,Current Agent,,ప్రస్తుత ఏజెంట్,,A,1,current_agent
257,Current Operating Areas,,ప్రస్తుత పని ప్రాంతాలు,,A,1,current_operating_areas
258,Current Route,,ప్రస్తుత మార్గం,,A,1,current_route
259,Current Status,,ప్రస్తుత స్థితి,,A,1,current_status
260,Custom (Owner Defined),,కస్టమ్ (యజమాని నిర్ణయించారు),,A,1,custom_owner_defined
261,Customer,,కస్టమర్,,A,1,customer
262,Customer *,,కస్టమర్ *,,A,1,customer_required_field
263,Customer Active,,"1) కస్టమర్ యాక్టివ్
2) కస్టమర్ యాక్టివ్‌గా ఉన్నారు",,A,2,check_customer_active customer_active
264,Customer Dashboard,,కస్టమర్ డాష్‌బోర్డ్,,A,1,customer_dashboard
265,Customer Exists,,కస్టమర్ ఉన్నారు,,A,2,check_customer_exists customer_exists
266,Customer List,,కస్టమర్ జాబితా,,A,1,customer_list
267,Customer Not Available,,కస్టమర్ అందుబాటులో లేరు,,A,1,customer_not_available
268,Customer Not Home,,కస్టమర్ ఇంట్లో లేరు,,A,1,customer_not_home
269,Customer Pending Settlement,,కస్టమర్ పెండింగ్ సెటిల్‌మెంట్,,A,1,customer_pending_settlement
270,Customer Refused,,కస్టమర్ తిరస్కరించారు,,A,1,customer_refused
271,Customer Since,,కస్టమర్ అయిన తేదీ,,A,1,customer_since
272,Customer: {name},,కస్టమర్: {name},,A,2,customer_label_note customer_note
273,Customers,,కస్టమర్లు,,A,2,customer_management customers
274,Customers & Loans,,కస్టమర్లు & రుణాలు,,A,2,entry_stage_customers group_customers_loans
275,Customers and Investors,,కస్టమర్లు మరియు పెట్టుబడిదారులు,,A,1,customers_and_investors
276,Customers Assigned,,కేటాయించిన కస్టమర్లు,,A,1,customers_assigned
277,Customers Due,,బకాయి కస్టమర్లు,,A,1,customers_due
278,Customers Remaining,,మిగిలిన కస్టమర్లు,,A,1,customers_remaining
279,Customers Visited,,సందర్శించిన కస్టమర్లు,,A,1,customers_visited
280,Daily,,ప్రతిరోజూ,,A,1,daily
281,Daily Allowance,,రోజువారీ భత్యం,,A,1,daily_allowance
282,Daily Allowance (optional),,రోజువారీ భత్యం (ఐచ్ఛికం),,A,1,daily_allowance_optional
283,Daily Record Book,,రోజువారీ రికార్డు పుస్తకం,,A,1,daily_record_book
284,Daily Work,,రోజువారీ పని,,A,1,group_daily_work
285,Dashboard,,డాష్‌బోర్డ్,,A,1,dashboard
286,Date,,తేదీ,,A,1,date
287,Date Range,,తేదీ పరిధి,,A,1,date_range
288,Day Closure,,దిన ముగింపు,,A,1,day_closure
289,Day Closure Details,,దిన ముగింపు వివరాలు,,A,1,day_closure_details
290,Day Net,,రోజు నికర,,A,1,day_net
291,Day Reopened,,దినం తిరిగి తెరవబడింది,,A,1,day_reopened
292,Days,,రోజులు,,A,1,days
293,December,,డిసెంబర్,,A,1,december
294,Decision,,నిర్ణయం,,A,1,decision
295,Declare,,ప్రకటించండి,,A,1,declare
296,Declare Opening BF,,ప్రారంభ BF ప్రకటించండి,,A,1,declare_opening_bf
297,Declare Profit Share,,లాభ వాటా ప్రకటించండి,,A,1,declare_profit_share
298,Declared on {date},,{date}న ప్రకటించబడింది,,A,1,bf_declared_on_note
299,Declared: {amount},,ప్రకటించినది: {amount},,A,1,declared_note
300,Decline,,తిరస్కరించండి,,A,1,decline
301,Defaulted,,డిఫాల్ట్ అయింది,,A,1,defaulted
302,Delete,,తొలగించండి,,A,1,delete
303,Delete Forever,,శాశ్వతంగా తొలగించండి,,A,1,delete_forever
304,Delete Group,,గ్రూప్ తొలగించండి,,A,1,delete_group
305,Delete Investment,,పెట్టుబడి తొలగించండి,,A,1,delete_investment
306,Delete Investment?,,పెట్టుబడిని తొలగించాలా?,,A,1,delete_investment_confirm_title
307,Deleting,,తొలగించడం,,A,1,group_deleting
308,Deposit From,,జమ చేసినవారు,,A,1,deposit_from
309,Deposits,,జమలు,,A,1,deposits
310,Deposits (Investor),,జమలు (పెట్టుబడిదారు),,A,1,deposits_investor
311,Description,,,,A,1,description
312,Details,,వివరాలు,,A,1,details
313,Didn't Collect,,వసూలు కాలేదు,,A,1,no_collection
314,Difference,,తేడా,,A,1,difference
315,Difference Details,,తేడా వివరాలు,,A,1,difference_details
316,Difference Found,,తేడా కనుగొనబడింది,,A,1,difference_found
317,Disable,,నిలిపివేయండి,,A,1,disable
318,Disabled,,నిలిపివేయబడింది,,A,1,disabled
319,Discard,,విస్మరించండి,,A,1,discard
320,Discard Draft,,ముసాయిదా విస్మరించండి,,A,1,discard_draft
321,Distribute Profit Share,,లాభ వాటా పంపిణీ చేయండి,,A,1,distribute_profit_share
322,Distribution History,,పంపిణీ చరిత్ర,,A,1,distribution_history
323,Distributions,,పంపిణీలు,,A,1,distributions
324,District *,,జిల్లా *,,A,1,district_field
325,Dividend this period,,ఈ కాలపు డివిడెండ్,,A,1,dividend_this_period_field
326,Document Type,,పత్రం రకం,,A,1,document_type
327,Document URL,,పత్రం URL,,A,1,document_url_field
328,Documents,,పత్రాలు,,A,1,documents
329,Done,,పూర్తయింది,,A,1,done
330,Door No,,ఇంటి నంబర్,,A,1,door_no_field
331,Download Corrected File,,సరిచేసిన ఫైల్ డౌన్‌లోడ్ చేయండి,,A,1,download_corrected_file
332,Download Statement,,స్టేట్‌మెంట్ డౌన్‌లోడ్ చేయండి,,A,1,download_statement
333,Draft,,ముసాయిదా,,A,1,draft
334,Draft submitted.,,ముసాయిదా సమర్పించబడింది.,,A,1,draft_submitted_note
335,Draft Transactions,,డ్రాఫ్ట్ లావాదేవీలు,,A,1,draft_transactions
336,Due Today,,ఈరోజు చెల్లించాలి,,A,1,due_today
337,Due {amount},,{amount} బకాయి,,A,1,due_note
338,Duration,,వ్యవధి,,A,1,duration
339,Duration (installments) *,,వ్యవధి (వాయిదాలు) *,,A,1,duration_installments_field
340,Earlier,,ఇంతకుముందు,,A,1,earlier
341,Edit,,మార్చండి,,A,1,edit
342,Edit Address,,చిరునామా మార్చండి,,A,1,edit_address
343,Edit Allowed Fields,,అనుమతించిన ఫీల్డ్‌లు మార్చండి,,A,1,edit_allowed_fields
344,Edit Cycle,,చక్రం మార్చండి,,A,1,edit_cycle
345,Edit Investment,,పెట్టుబడి మార్చండి,,A,1,edit_investment
346,Edit Phone,,ఫోన్ మార్చండి,,A,1,edit_phone
347,Effective Date,,అమలు తేదీ,,A,1,effective_date
348,Effective Date (YYYY-MM-DD),,అమలు తేదీ (YYYY-MM-DD),,A,1,effective_date_ymd_field
349,Effective {date},,{date} నుండి అమలులో,,A,1,effective_note
350,Eligibility Check,,అర్హత తనిఖీ,,A,1,eligibility_check
351,EMI,,ఈఎంఐ,,A,1,emi
352,Enable biometric login?,,బయోమెట్రిక్ లాగిన్ ప్రారంభించాలా?,,A,1,enable_biometric_q
353,Enter Another,,మరొకటి నమోదు చేయండి,,A,1,save_and_enter_another
354,Enter Collection,,వసూలు నమోదు చేయండి,,A,1,enter_collection
355,Enter MLID,,MLID నమోదు చేయండి,,A,1,enter_mlid
356,Enter PIN,,పిన్ నమోదు చేయండి,,A,1,enter_pin
357,Entered.,,నమోదైంది.,,A,1,entered_in_this_sitting
358,Est. Collection,,అంచనా వసూలు,,A,1,est_collection
359,Every rupee counts,,ప్రతి రూపాయి ముఖ్యం,,A,1,every_rupee_counts
360,Excess,,అధికం,,A,1,excess
361,Excess Disposition *,,అధిక మొత్తం వినియోగం *,,A,1,excess_disposition_field
362,Excess Ledger-Unresolved,,అధికం లెడ్జర్-పరిష్కరించని,,A,1,excess_ledger_unresolved
363,Existing Customer,,ఇప్పటికే ఉన్న కస్టమర్,,A,2,existing customer existing_customer
364,Existing Customers,,ఇప్పటికే ఉన్న కస్టమర్లు,,A,1,existing_customers
365,Existing Customers Only,,ఇప్పటికే ఉన్న ఖాతాదారులకు మాత్రమే,,A,1,existing_customers_only
366,Existing MLID: {mlid},,ఇప్పటికే ఉన్న MLID: {mlid},,A,1,existing_mlid_note
367,Exit,,నిష్క్రమించండి,,A,1,exit
368,Exit App,,యాప్‌ను మూసివేయండి,,A,1,exit app
369,Expected Bank,,ఆశించిన బ్యాంక్,,A,1,expected_bank
370,Expected Cash,,ఆశించిన నగదు,,A,1,expected_cash
371,Expected Cheque,,ఆశించిన చెక్,,A,1,expected_cheque
372,Expected Closing Balance,,ఆశించిన ముగింపు నిల్వ,,A,1,expected_closing_balance
373,Expected UPI,,ఆశించిన UPI,,A,1,expected_upi
374,Expense,,ఖర్చు,,A,1,expense
375,Expense Paid,,చెల్లించిన ఖర్చు,,A,1,expense_paid
376,Expenses,,ఖర్చులు,,A,1,expenses
377,Export to Excel,,ఎక్సెల్‌కు ఎగుమతి చేయండి,,A,1,export_to_excel
378,Extend By,,పొడిగించండి,,A,1,extend_by
379,Extension approved.,,పొడిగింపు ఆమోదించబడింది.,,A,1,extension_approved
